epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,10935.9,0.78291,0.42188,0.94258,0.95259,0.94985,0.96799,0.79417,0.72332,0.38544,0.95091,0.003862,0.003862,0.003862
126,11023,0.78067,0.4204,0.94002,0.95242,0.95065,0.96815,0.79508,0.7213,0.38442,0.95023,0.0038125,0.0038125,0.0038125
127,11110.5,0.782,0.42014,0.94188,0.95302,0.95067,0.96846,0.79594,0.71983,0.3836,0.94968,0.003763,0.003763,0.003763
128,11197.9,0.77935,0.42006,0.94121,0.95329,0.95081,0.96861,0.79688,0.71824,0.38253,0.94914,0.0037135,0.0037135,0.0037135
129,11285.4,0.77568,0.41632,0.94055,0.95331,0.95075,0.969,0.79747,0.71624,0.38168,0.94844,0.003664,0.003664,0.003664
130,11372.8,0.77486,0.41597,0.93993,0.95363,0.95125,0.96884,0.79827,0.71479,0.38066,0.94799,0.0036145,0.0036145,0.0036145
131,11460.3,0.77185,0.41484,0.93889,0.95385,0.95099,0.96923,0.79896,0.71295,0.38003,0.94715,0.003565,0.003565,0.003565
132,11547.7,0.77162,0.41533,0.93831,0.95359,0.95052,0.96933,0.79969,0.71153,0.37939,0.94671,0.0035155,0.0035155,0.0035155
133,11635.2,0.76417,0.41104,0.93466,0.95385,0.95063,0.96933,0.79996,0.70993,0.37815,0.94613,0.003466,0.003466,0.003466
134,11722.6,0.76984,0.41328,0.93806,0.95371,0.95064,0.96944,0.80075,0.70841,0.37749,0.94558,0.0034165,0.0034165,0.0034165
135,11810,0.7653,0.41125,0.93644,0.95448,0.95039,0.96988,0.80148,0.7069,0.37671,0.94493,0.003367,0.003367,0.003367
136,11898.1,0.76342,0.41093,0.93579,0.95434,0.95048,0.96989,0.80179,0.70553,0.3759,0.94441,0.0033175,0.0033175,0.0033175
137,11985.6,0.75992,0.40997,0.93502,0.95478,0.95045,0.96984,0.80241,0.70409,0.37502,0.94387,0.003268,0.003268,0.003268
138,12073.2,0.75703,0.40857,0.93361,0.95488,0.95034,0.97008,0.8032,0.70286,0.37415,0.94338,0.0032185,0.0032185,0.0032185
139,12160.7,0.75108,0.40447,0.93186,0.95543,0.95045,0.97005,0.80361,0.70135,0.37353,0.94275,0.003169,0.003169,0.003169
140,12246.9,0.74695,0.40256,0.92983,0.95652,0.95044,0.97043,0.80437,0.69987,0.37289,0.94224,0.0031195,0.0031195,0.0031195
141,12332.9,0.74634,0.40283,0.92978,0.95695,0.95058,0.97052,0.80489,0.69831,0.37175,0.94168,0.00307,0.00307,0.00307
142,12420,0.74808,0.40351,0.93191,0.95795,0.95035,0.97058,0.80561,0.69674,0.37102,0.94104,0.0030205,0.0030205,0.0030205
